Name,Artist,Album,Genre,Charter,Year,songlength
Ridin' the Storm Out,REO Speedwagon,Ridin' the Storm Out,Classic Rock,Harmonix,1973,263491
Bodhisattva,Steely Dan,Countdown to Ecstasy,Classic Rock,Harmonix,1973,317400
My Old School,Steely Dan,Countdown to Ecstasy,Classic Rock,Harmonix,1973,346500
The Joker,Steve Miller Band,The Joker,Classic Rock,Neversoft,1973,230367
Children of the Revolution,T. Rex,Tanx,Classic Rock,Harmonix,1973,147627
China Grove,The Doobie Brothers,The Captain and Me,Classic Rock,Harmonix,1973,196000
Long Train Runnin',The Doobie Brothers,The Captain and Me,Classic Rock,Harmonix,1973,210202
La Grange,ZZ Top (Steve Ouimette),Tres Hombres,Classic Rock,Neversoft,1973,226000
Goodbye Yellow Brick Road,Elton John,Goodbye Yellow Brick Road,classicrock,Unknown Charter,1973,198080
Everybody's Alone,Neil Young,Neil Young Archives Volume II: 1972-1976,classicrock,Unknown Charter,1973,161621
"Rock and Roll, Hoochie Koo",Rick Derringer,All American Boy,classicrock,Unknown Charter,1973,227132
We're An American Band,Grand Funk Railroad,We're An American Band,Funk Rock,Neversoft,1973,211072
Search and Destroy,Iggy Pop and the Stooges (WaveGroup),Raw Power,Garage Rock,Harmonix,1973,221196
Personality Crisis,New York Dolls (Steve Ouimette),New York Dolls,Glam Rock,Neversoft,1973,228000
Personality Crisis,New York Dolls (Steve Ouimette),New York Dolls,Glam Rock,Neversoft,1973,228000
Dream On,Aerosmith,Aerosmith,Hard Rock,Neversoft,1973,272000
Dream On,Aerosmith,Aerosmith,Hard Rock,Neversoft,1973,272000
Movin' Out,Aerosmith,Aerosmith,Hard Rock,Neversoft,1973,304280
Movin' Out,Aerosmith,Aerosmith,Hard Rock,Neversoft,1973,304280
Billion Dollar Babies,Alice Cooper (WaveGroup),Billion Dollar Babies,Hard Rock,Harmonix,1973,219666
Elected,Alice Cooper,Billion Dollar Babies,Heavy Metal,Neversoft,1973,248794
Bodhisattva,Steely Dan,Countdown to Ecstasy,Jazz Rock,Neversoft,1973,323178
Jungle Boogie,Kool & The Gang,Wild and Peaceful,R&B/Soul/Funk,Harmonix,1973,187026
Jungle Boogie,Kool & The Gang,Wild and Peaceful,R&B/Soul/Funk,Harmonix,1973,187026
"Get Up, Stand Up",Bob Marley and the Wailers,Burnin',Reggae,Harmonix,1973,194875
Dream On,Aerosmith,Aerosmith,Rock,Neversoft,1973,277007
Dream On,Aerosmith,Aerosmith,Rock,Neversoft,1973,277007
No More Mr. Nice Guy,Alice Cooper,Billion Dollar Babies,rock,Unknown Charter,1973,190229
"Hi, Hi, Hi",Wings,Red Rose Speedway (93' Reissue),Rock,Neversoft,1973,191294
La Grange,ZZ Top (WaveGroup),Tres Hombres,rock,Vicarious Visions,1973,225276
Free Bird,Lynyrd Skynyrd,(Pronounced 'Leh-'nerd 'Skin-'nerd),Southern Rock,Harmonix,1973,598896
Free Bird,Lynyrd Skynyrd,(pronounced 'leh-'nérd 'skin-'nérd),Southern Rock,Harmonix,1973,582868
Tuesday's Gone,Lynyrd Skynyrd,(pronounced 'lĕh-'nérd 'skin-'nérd),Southern Rock,Neversoft,1973,478396
Free Bird,Lynyrd Skynyrd (WaveGroup),(Pronounced 'Lĕh-'nérd 'Skin-'nérd),Southern Rock,Harmonix,1973,565034
Free Bird (Co-op),Lynyrd Skynyrd (WaveGroup),(Pronounced 'Lĕh-'nérd 'Skin-'nérd),Southern Rock,Harmonix,1973,566984
Ramblin' Man,The Allman Brothers Band,Brothers and Sisters,Southern Rock,Harmonix,1973,320435
Ramblin' Man,The Allman Brothers Band,Brothers and Sisters,Southern Rock,Neversoft,1973,322274
Jessica,The Allman Brothers Band (WaveGroup),Brothers and Sisters,Southern Rock,Harmonix,1973,361070
Jessica (Co-op),The Allman Brothers Band (WaveGroup),Brothers and Sisters,Southern Rock,Harmonix,1973,364432
Killer Queen,Queen (WaveGroup),Sheer Heart Attack,Art Pop,Harmonix,1974,197649
Killer Queen,Queen (WaveGroup),Sheer Heart Attack,Art Pop,Harmonix,1974,197649
Same Old Song & Dance,Aerosmith,Get Your Wings,Classic Rock,Neversoft,1974,186000
The Loco-Motion,Grand Funk Railroad,Shinin' On,Classic Rock,Harmonix,1974,168076
Band on the Run,Paul McCartney & Wings,Band on the Run,Classic Rock,Neversoft,1974,314797
Band on the Run,Paul McCartney & Wings,Band on the Run,Classic Rock,Neversoft,1974,314797
Scarlet Begonias,The Grateful Dead,Grateful Dead from the Mars Hotel,Classic Rock,Harmonix,1974,264642
U.S. Blues,The Grateful Dead,Grateful Dead from the Mars Hotel,Classic Rock,Harmonix,1974,280871
